order_id,date,product,category,region,channel,quantity,unit_price,discount_pct,revenue
100001,2023-01-01,Dumbbell Set,Fitness,North,In-Store,1,89.73,0.0,89.73
100029,2023-01-01,USB-C Hub,Electronics,North,Online,1,30.06,0.0,30.06
100028,2023-01-01,Mechanical Keyboard,Electronics,South,Online,1,56.95,0.1,56.95
100027,2023-01-01,Office Chair,Furniture,West,Online,1,144.73,0.0,144.73
100025,2023-01-01,Planner,Stationery,North,Online,3,15.48,0.0,46.44
100024,2023-01-01,Planner,Stationery,North,In-Store,1,16.38,0.0,16.38
100023,2023-01-01,Notebook Set,Stationery,East,Online,1,9.08,0.0,9.08
100022,2023-01-01,USB-C Hub,Electronics,North,Online,1,27.6,0.0,27.6
100021,2023-01-01,Wireless Mouse,Electronics,North,Online,1,19.54,0.0,19.54
100020,2023-01-01,Standing Desk,Furniture,Central,Online,1,270.78,0.1,270.78
100019,2023-01-01,Mechanical Keyboard,Electronics,North,Online,1,63.98,0.0,63.98
100018,2023-01-01,Noise-Cancel Headphones,Electronics,North,Online,1,135.75,0.0,135.75
100017,2023-01-01,Dumbbell Set,Fitness,North,Online,1,88.25,0.0,88.25
100016,2023-01-01,Dumbbell Set,Fitness,North,Online,1,88.25,0.0,88.25
100026,2023-01-01,Wireless Mouse,Electronics,South,In-Store,1,15.18,0.2,15.18
100014,2023-01-01,Running Shoes,Fitness,Central,In-Store,1,69.38,0.1,69.38
100013,2023-01-01,Running Shoes,Fitness,East,Online,2,69.38,0.1,138.76
100012,2023-01-01,Wireless Mouse,Electronics,North,Online,1,19.58,0.0,19.58
100011,2023-01-01,Desk Lamp,Furniture,North,In-Store,1,22.61,0.1,22.61
100010,2023-01-01,Water Bottle,Fitness,Central,Online,1,13.28,0.0,13.28
100009,2023-01-01,Water Bottle,Fitness,North,Online,2,13.28,0.0,26.56
100008,2023-01-01,Yoga Mat,Fitness,North,In-Store,1,21.49,0.0,21.49
100007,2023-01-01,Running Shoes,Fitness,North,Online,1,73.3,0.0,73.3
100006,2023-01-01,Running Shoes,Fitness,East,In-Store,1,73.3,0.0,73.3
100005,2023-01-01,Dumbbell Set,Fitness,Central,In-Store,1,87.92,0.0,87.92
100015,2023-01-01,USB-C Hub,Electronics,East,In-Store,1,30.32,0.0,30.32
100004,2023-01-01,Water Bottle,Fitness,Central,Online,1,13.08,0.0,13.08
100003,2023-01-01,Wireless Mouse,Electronics,South,Online,1,18.46,0.0,18.46
100002,2023-01-01,Dumbbell Set,Fitness,West,In-Store,1,89.73,0.0,89.73
100039,2023-01-02,Wireless Mouse,Electronics,South,Online,1,18.97,0.0,18.97
100040,2023-01-02,Planner,Stationery,Central,In-Store,1,15.98,0.0,15.98
100043,2023-01-02,Water Bottle,Fitness,East,Online,3,12.76,0.0,38.28
100042,2023-01-02,Wireless Mouse,Electronics,East,Online,1,18.45,0.0,18.45
100038,2023-01-02,Yoga Mat,Fitness,South,In-Store,3,22.6,0.0,67.8
100041,2023-01-02,Noise-Cancel Headphones,Electronics,Central,In-Store,2,130.73,0.0,261.46
100037,2023-01-02,Wireless Mouse,Electronics,East,Online,1,18.98,0.0,18.98
100034,2023-01-02,Office Chair,Furniture,South,In-Store,3,152.93,0.0,458.79
100035,2023-01-02,Bookshelf,Furniture,West,Online,1,123.96,0.0,123.96
100033,2023-01-02,Fountain Pen,Stationery,South,In-Store,2,18.26,0.1,36.52
100032,2023-01-02,Mechanical Keyboard,Electronics,North,Online,4,58.6,0.1,234.4
100031,2023-01-02,Water Bottle,Fitness,West,Online,1,12.93,0.0,12.93
100030,2023-01-02,Running Shoes,Fitness,South,Online,1,76.39,0.0,76.39
100036,2023-01-02,Wireless Mouse,Electronics,West,In-Store,1,18.23,0.0,18.23
100054,2023-01-03,Notebook Set,Stationery,North,Online,1,9.11,0.0,9.11
100061,2023-01-03,Mechanical Keyboard,Electronics,West,Online,1,63.78,0.0,63.78
100060,2023-01-03,Bookshelf,Furniture,South,In-Store,1,121.0,0.0,121.0
100059,2023-01-03,Wireless Mouse,Electronics,South,Online,1,20.19,0.0,20.19
100058,2023-01-03,Standing Desk,Furniture,Central,Online,1,294.45,0.0,294.45
100057,2023-01-03,Bluetooth Speaker,Electronics,Central,In-Store,1,37.01,0.15,37.01
100056,2023-01-03,Bluetooth Speaker,Electronics,Central,In-Store,1,47.47,0.0,47.47
100055,2023-01-03,Dumbbell Set,Fitness,West,Online,1,92.08,0.0,92.08
100053,2023-01-03,Fountain Pen,Stationery,South,Online,1,20.98,0.0,20.98
100050,2023-01-03,Noise-Cancel Headphones,Electronics,North,In-Store,1,129.46,0.0,129.46
100051,2023-01-03,Notebook Set,Stationery,West,In-Store,1,8.78,0.0,8.78
100044,2023-01-03,Planner,Stationery,South,Online,2,16.19,0.0,32.38
100045,2023-01-03,Desk Lamp,Furniture,East,Online,1,24.44,0.0,24.44
100046,2023-01-03,Resistance Bands,Fitness,South,Online,2,14.6,0.0,29.2
100052,2023-01-03,Wireless Mouse,Electronics,South,Online,3,19.2,0.0,57.6
